watersysteem_id;locatie_naam;locatie_code;locatie_omschrijving;geometry
Beneden Merwede;Dordrecht Oude Maas, Beneden Merwede;dordrecht.oudemaas.benedenmerwede;Dordrecht Oude Maas, Beneden Merwede;c(4.671, 51.82)
Bergsche Maas;Keizersveer;hank.bergschemaas;km 247,60;c(4.894, 51.7191)
Bergsche Maas;Heesbeen;heesbeen;Heesbeen;c(5.124738, 51.735848)
Boven-Rijn;Lobith, Bovenrijn, Tolkamer;lobith.bovenrijn.tolkamer;Lobith, Bovenrijn, Tolkamer;c(6.1024, 51.8495)
Brabantse Biesbosch;Gat van de Kerksloot, badstrand;gatvandekerksloot.badstrand;Gat van de Kerksloot, badstrand;c(4.771368, 51.724368)
Brabantse Biesbosch;Aakvlaai, badstrand;aakvlaai.badstrand;Aakvlaai, badstrand;c(4.864773, 51.723572)
Brabantse Biesbosch;Rietplaat, badstrand;rietplaat.badstrand;Rietplaat, badstrand;c(4.776977, 51.748397)
Brabantse Biesbosch;Noordergat, van de Plomp, badstrand;noordergat.vandeplomp.badstrand;Noordergat, van de Plomp, badstrand;c(4.7917, 51.719079)
Brabantse Biesbosch;Werkendam, Middelste Kievitswaard;werkendam.middelstekievitswaard;Werkendam, Middelste Kievitswaard;c(4.807028, 51.784694)
Brabantse Biesbosch;Werkendam, Binnen Kievitswaard;werkendam.binnenkievitswaard;Werkendam, Binnen Kievitswaard;c(4.830278, 51.792222)
Brabantse Biesbosch;Werkendam, Kleine Zalm;werkendam.kleinezalm;Werkendam, Kleine Zalm;c(4.821139, 51.761722)
Brabantse Biesbosch;Werkendam, Vogelenzang;werkendam.vogelenzang;Werkendam, Vogelenzang;c(4.836139, 51.769167)
Brabantse Biesbosch;Werkendam, Nieuwe Merwede;werkendam.nieuwemerwede;buiten;c(4.876824, 51.806041)
Brabantse Biesbosch;Werkendam, Happen Hennip;werkendam.happenhennip;Werkendam, Happen Hennip;c(4.795944, 51.780722)
Brabantse Biesbosch;Werkendam, Steenenmuur;werkendam.steenenmuur;Werkendam, Steenenmuur;c(4.839778, 51.765278)
Brabantse Biesbosch;Werkendam, Kooike;werkendam.kooike;Werkendam, Kooike;c(4.862972, 51.783139)
Haringvliet;Stellendam, recreatieterrein RWS;stellendam.recreatieterreinrws;Stellendam, recreatieterrein RWS;c(4.044816, 51.823716)
Haringvliet;Stad aan het Haringvliet, strand;stadaantharingvliet.strand;Stad aan het Haringvliet, strand;c(4.241611, 51.744927)
Haringvliet;Hellevloetsluis, Hellecat, badstrand;hellevloetsluis.hellecat.badstrand;Hellevloetsluis, Hellecat, badstrand;c(4.07616, 51.841339)
Haringvliet;Middelharnis, badstrand;middelharnis.badstrand;Middelharnis, badstrand;c(4.193731, 51.771983)
Haringvliet;Haringvlietbrug, west;haringvlietbrug.west;Haringvlietbrug, west;c(4.403063, 51.722033)
Haringvliet;Vuurtoren Badstrand Hellevoetsluis;vuurtorenbadstrandhellevoetsluis;Vuurtoren Badstrand Hellevoetsluis;c(4.124278, 51.821299)
Haringvliet;Den Bommel, badstrand;denbommel.badstrand;Den Bommel, badstrand;c(4.28171, 51.72129)
Haringvliet;Haringvlietsluizen;haringvlietsluizen;punt ligt binnen;c(4.058326, 51.82947)
Haringvliet;Haringvliet, Kier1;haringvliet.1;Haringvliet, Kier1;c(4.12387, 51.79685)
Haringvliet;Goudswaard, Spui;goudswaard.spui;Goudswaard, Spui;c(4.236792, 51.782319)
Haringvliet;Haringvliet, Kier4;haringvliet.4;Haringvliet, Kier4;c(4.07514, 51.82039)
Haringvliet;Middelharnis, meetboei;middelharnis.meetboei;Middelharnis, meetboei;c(4.192119, 51.776524)
Haringvliet;Stellendam, binnen;stellendam.binnen;Stellendam, binnen;c(4.050028, 51.826694)
Haringvliet;Haringvliet, Kier2;haringvliet.2;Haringvliet, Kier2;c(4.074067, 51.819858)
Haringvliet;Haringvliet, Kier3;haringvliet.3;Haringvliet, Kier3;c(4.051158, 51.826032)
Haringvliet;Haringvlietsluizen, buiten;haringvlietsluizen.buiten;Haringvlietsluizen, buiten;c(4.04484, 51.829227)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 11;stellendam.haringvlietsluizen.schuif11;Stellendam, Haringvlietsluizen, schuif 11;c(4.048633, 51.831883)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 15;stellendam.haringvlietsluizen.schuif15;Stellendam, Haringvlietsluizen, schuif 15;c(4.046333, 51.830166)
Haringvliet;Stellendam, Haringvlietsluizen, schuif 16;stellendam.haringvlietsluizen.schuif16;Stellendam, Haringvlietsluizen, schuif 16;c(4.045767, 51.82975)
